Object Type,Property,Name,English [en-US],Chinese [zh-CN]
Table,Caption,Customers,Customers,客户
Column,Caption,Customers[City],City,城市
Column,Caption,Customers[Customer],Customer,客户
Column,Caption,Customers[Country],Country,国家
Column,Caption,Customers[City Location],City Location,城市的位置
Column,Caption,Customers[Flag],Flag,国旗
Column,Caption,Customers[Age],Age,年龄
Table,Caption,Sales,Sales,销售
Measure,Caption,Sales[Sales Revenue],Sales Revenue,销售额
Measure,Caption,Sales[Units Sold],Units Sold,销售数量
Measure,Caption,Sales[Customers],Customers,客户数
Measure,Caption,Sales[First Sale],First Sale,首次销售
Measure,Caption,Sales[Last Sale],Last Sale,最终销售
Measure,Caption,Sales[Orders],Orders,订单数量
Measure,Caption,Sales[Ranking],Ranking,产品排名
Measure,Caption,Sales[Rank],Rank,客户排名
Table,Caption,Products,Products,产品
Column,Caption,Products[Product],Product,产品名称
Column,Caption,Products[Price],Price,价格
Column,Caption,Products[Image],Image,产品图片
Column,Caption,Products[Category],Category,类别
Table,Caption,Calendar,Calendar,日期
Column,Caption,Calendar[Date],Date,日期
Column,Caption,Calendar[Year],Year,年
Column,Caption,Calendar[Quarter],Quarter,季度
Column,Caption,Calendar[Month],Month,月
Column,Caption,Calendar[Day],Day,日
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,产品销售报告
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,销售概况
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,不同国家销售额
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,不同产品销售额
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,按国家筛选
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,前10名客户
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,产品目录
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,设置产品筛选
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,设置国家筛选
Measure,Caption,Localized Labels[Time Slices],Time Slices,时间序列切片
