Object Type,Property,Name,English [en-US],French [fr-FR]
Table,Caption,Customers,Customers,Clients
Column,Caption,Customers[City],City,Ville
Column,Caption,Customers[Customer],Customer,Client
Column,Caption,Customers[Country],Country,Pays
Column,Caption,Customers[City Location],City Location,Localisation
Column,Caption,Customers[Flag],Flag,Drapeau
Column,Caption,Customers[Age],Age,Âge
Table,Caption,Sales,Sales,Ventes
Measure,Caption,Sales[Sales Revenue],Sales Revenue,Chiffre d’Affaires
Measure,Caption,Sales[Units Sold],Units Sold,Revenu des vents
Measure,Caption,Sales[Customers],Customers,Clients
Measure,Caption,Sales[First Sale],First Sale,Première Vente
Measure,Caption,Sales[Last Sale],Last Sale,Dernière Vente
Measure,Caption,Sales[Orders],Orders,Ordres
Measure,Caption,Sales[Ranking],Ranking,Classement
Measure,Caption,Sales[Rank],Rank,Rang
Table,Caption,Products,Products,Produits
Column,Caption,Products[Product],Product,Produit
Column,Caption,Products[Price],Price,Prix
Column,Caption,Products[Product Image],Product Image,Image du Produit
Column,Caption,Products[Category],Category,Catégorie
Table,Caption,Calendar,Calendar,Calendrier
Column,Caption,Calendar[Date],Date,Date
Column,Caption,Calendar[Year],Year,Année
Column,Caption,Calendar[Quarter],Quarter,Quartier
Column,Caption,Calendar[Month],Month,Mois
Column,Caption,Calendar[Day],Day,Jour
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,Rapport sur les Ventes de Produits
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,Résumé des Ventes
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,Ventes par Pays
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,Ventes par Produit
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,Filtre par Pays
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,Top 10 des Clients
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,Catalogue de Produits
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,Définir le Filtre de Produit
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,Définir le Filtre par Pays
Measure,Caption,Localized Labels[Time Slices],Time Slices,Tranches de Temps
