Object Type,Property,Name,English [en-US],Japanese [ja-JP]
Table,Caption,Customers,Customers,顧客
Column,Caption,Customers[City],City,都市
Column,Caption,Customers[Customer],Customer,顧客名
Column,Caption,Customers[Country],Country,国名
Column,Caption,Customers[City Location],City Location,都市名の所在地
Column,Caption,Customers[Flag],Flag,国旗
Column,Caption,Customers[Age],Age,年齢
Table,Caption,Sales,Sales,売上
Measure,Caption,Sales[Sales Revenue],Sales Revenue,売上高
Measure,Caption,Sales[Units Sold],Units Sold,売上数
Measure,Caption,Sales[Customers],Customers,顧客数
Measure,Caption,Sales[First Sale],First Sale,初回販売
Measure,Caption,Sales[Last Sale],Last Sale,最終販売
Measure,Caption,Sales[Orders],Orders,注文数
Measure,Caption,Sales[Ranking],Ranking,製品ランク
Measure,Caption,Sales[Rank],Rank,顧客ランク
Table,Caption,Products,Products,商品
Column,Caption,Products[Product],Product,商品名
Column,Caption,Products[Price],Price,価格
Column,Caption,Products[Image],Image,商品画像
Column,Caption,Products[Category],Category,カテゴリー
Table,Caption,Calendar,Calendar,日付
Column,Caption,Calendar[Date],Date,日付
Column,Caption,Calendar[Year],Year,年
Column,Caption,Calendar[Quarter],Quarter,四半期
Column,Caption,Calendar[Month],Month,月
Column,Caption,Calendar[Day],Day,日
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,製品販売レポート
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,売上概要
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,国別売上高
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,製品別売上
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,国別フィルター
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,上位 10 顧客
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,製品カタログ
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,製品フィルターの設定
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,国フィルターの設定
Measure,Caption,Localized Labels[Time Slices],Time Slices,時系列スライス
