"@odata.etag";"id";"bcptCode";"lineNumber";"tag";"version";"entryNumber";"startTime";"endTime";"codeunitID";"codeunitName";"sessionId";"operation";"message";"durationMin";"numberOfSQLStmts";"status"
"W/""JzE5OzM0ODYzNjI5NTcyMTUyNTM3NzAxOzAwOyc=""";"c733b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"11";"07/07/2023 13.10.53";"07/07/2023 13.10.53";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"6";"4";"Success"
"W/""JzE5OzY3NTkwNTQ2NjU1MjE4ODEzMjIxOzAwOyc=""";"c933b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"12";"07/07/2023 13.10.53";"07/07/2023 13.10.53";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"7";"6";"Success"
"W/""JzE5OzU5NDMxNTAxOTMzMTQzMTEzNjMxOzAwOyc=""";"ca33b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"13";"07/07/2023 13.10.53";"07/07/2023 13.10.53";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"29";"12";"Success"
"W/""JzE5OzU5MzI5MzI0ODAzMTA1ODIzNTExOzAwOyc=""";"cb33b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"14";"07/07/2023 13.10.41";"07/07/2023 13.10.53";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"1867";"348";"Success"
"W/""JzIwOzExNjY1OTI1NTAyMTg0NTYwNTgxMTswMDsn""";"cc33b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"15";"07/07/2023 13.10.32";"07/07/2023 13.10.54";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"6382";"332";"Success"
"W/""JzE5OzI3ODgwMTU2MTI0MzA4NDE4OTkxOzAwOyc=""";"cd33b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"16";"07/07/2023 13.10.49";"07/07/2023 13.10.54";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4535";"5";"Success"
"W/""JzIwOzE3MTM5Mzc3MzUyODcxMTA3NzY1MTswMDsn""";"d233b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"17";"07/07/2023 13.10.58";"07/07/2023 13.10.58";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"10";"10";"Success"
"W/""JzIwOzEzNTM5MDgzMDUyODgwMDcwMzMzMTswMDsn""";"d633b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"18";"07/07/2023 13.10.59";"07/07/2023 13.10.59";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"10";"11";"Success"
"W/""JzIwOzEzNTUwNjQ5NzMxNDQwNTMyNTk2MTswMDsn""";"d733b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"19";"07/07/2023 13.10.59";"07/07/2023 13.10.59";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"11";"11";"Success"
"W/""JzIwOzE3NDAwNzkyODE0MjY1NDk1ODQ4MTswMDsn""";"d933b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"20";"07/07/2023 13.11.00";"07/07/2023 13.11.00";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"11";"8";"Success"
"W/""JzIwOzE3MjMwODUzMzYzMTM1Njc5NDkwMTswMDsn""";"e5a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"21";"07/07/2023 13.10.42";"07/07/2023 13.11.03";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"693";"391";"Success"
"W/""JzE5OzI1Njc1MzAwOTE5ODI4NTg2NjExOzAwOyc=""";"eca9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"22";"07/07/2023 13.11.04";"07/07/2023 13.11.08";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4349";"5";"Success"
"W/""JzIwOzEyOTQ4NjU2NzAyOTc1OTEzMTk2MTswMDsn""";"f0a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"23";"07/07/2023 13.11.08";"07/07/2023 13.11.08";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"11";"9";"Success"
"W/""JzE5OzM4MzEwMDk3NjM4MzU4NDM4OTgxOzAwOyc=""";"f2a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"24";"07/07/2023 13.11.09";"07/07/2023 13.11.09";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"7";"4";"Success"
"W/""JzIwOzEyNDYyODczMDIwNjQxMzA4MzM0MTswMDsn""";"f3a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"25";"07/07/2023 13.11.09";"07/07/2023 13.11.09";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"26";"11";"Success"
"W/""JzIwOzE2MzI3NTAzMTY5NDY2NzY3NDk3MTswMDsn""";"f5a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"26";"07/07/2023 13.11.10";"07/07/2023 13.11.10";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"16";"12";"Success"
"W/""JzE5Ozc3NzU4MDY5MjM2Mjk2MjcyMzcxOzAwOyc=""";"f6a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"27";"07/07/2023 13.10.58";"07/07/2023 13.11.10";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"287";"233";"Success"
"W/""JzIwOzE4NDQzODExODI3NDI4NjAxNDE5MTswMDsn""";"f8a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"28";"07/07/2023 13.11.11";"07/07/2023 13.11.11";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"8";"7";"Success"
"W/""JzIwOzE1ODE3MjMyNDg0Njg3NjgzOTQ5MTswMDsn""";"f9a9e3b8-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"29";"07/07/2023 13.11.11";"07/07/2023 13.11.11";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"12";"12";"Success"
"W/""JzIwOzEwMzc3NjUwODA4NTIwNzgzNzkyMTswMDsn""";"8ce255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"30";"07/07/2023 13.11.15";"07/07/2023 13.11.15";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"7";"8";"Success"
"W/""JzE5OzE4NjczMDY1NTc5MzczMTkxNjAxOzAwOyc=""";"8ee255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"31";"07/07/2023 13.11.15";"07/07/2023 13.11.15";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"11";"10";"Success"
"W/""JzE5OzEyMzcwMzgzNjYwMDE3ODc5ODQxOzAwOyc=""";"90e255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"32";"07/07/2023 13.11.16";"07/07/2023 13.11.16";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"7";"3";"Success"
"W/""JzIwOzE3NTA2MzkwNTM0NDAxMTQyOTIyMTswMDsn""";"92e255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"33";"07/07/2023 13.11.17";"07/07/2023 13.11.17";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"9";"6";"Success"
"W/""JzE5OzI4MTU3MTQ4MDIyMDgzNTg3NDUxOzAwOyc=""";"94e255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"34";"07/07/2023 13.10.59";"07/07/2023 13.11.17";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"387";"213";"Success"
"W/""JzE5Ozk0NTgyNTI4Nzc5ODY1MTEyNTYxOzAwOyc=""";"9ee255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"35";"07/07/2023 13.11.22";"07/07/2023 13.11.22";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"11";"9";"Success"
"W/""JzIwOzE1NDQ2MzkwNzg1NTYyMjEwNTI1MTswMDsn""";"9fe255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"36";"07/07/2023 13.11.22";"07/07/2023 13.11.22";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"7";"8";"Success"
"W/""JzE5OzE4NzAzNTM3OTczMTc3MTk5ODYxOzAwOyc=""";"a0e255bf-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"37";"07/07/2023 13.11.18";"07/07/2023 13.11.22";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4394";"5";"Success"
"W/""JzIwOzEwNjgxNzg5MjcwNjc0ODExNjQxMTswMDsn""";"5be8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"38";"07/07/2023 13.11.08";"07/07/2023 13.11.26";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"498";"281";"Success"
"W/""JzIwOzExODgxNTI3NDAwNTkxNTgyMjA3MTswMDsn""";"5ee8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"39";"07/07/2023 13.11.27";"07/07/2023 13.11.27";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"6";"4";"Success"
"W/""JzIwOzExMjkyNjM1NzI3NDk4NDAzMzY4MTswMDsn""";"5fe8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"40";"07/07/2023 13.11.27";"07/07/2023 13.11.27";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"14";"12";"Success"
"W/""JzE5OzIzOTY2MzU1MDk4OTAyODc4MTgxOzAwOyc=""";"60e8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"41";"07/07/2023 13.11.15";"07/07/2023 13.11.27";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"352";"230";"Success"
"W/""JzE4Ozc3ODQ5NTI1NDIxODA4MDcwOTE7MDA7Jw==""";"66e8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"42";"07/07/2023 13.11.31";"07/07/2023 13.11.31";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"10";"9";"Success"
"W/""JzE5Ozc5NTk3MjQ1MDA2NTI3MzUwNTAxOzAwOyc=""";"67e8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"43";"07/07/2023 13.11.32";"07/07/2023 13.11.32";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"13";"11";"Success"
"W/""JzE5OzI5OTUxNzI5NDk1NjgyNTU4MDgxOzAwOyc=""";"6be8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"44";"07/07/2023 13.11.32";"07/07/2023 13.11.32";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"7";"8";"Success"
"W/""JzIwOzE4MDI4NTg0ODA0ODc0NzM2MTk3MTswMDsn""";"6de8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"45";"07/07/2023 13.11.32";"07/07/2023 13.11.32";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"26";"10";"Success"
"W/""JzE5Ozk2NzU1MzQ3ODczMTY0MDYzNTcxOzAwOyc=""";"6ee8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"46";"07/07/2023 13.11.33";"07/07/2023 13.11.33";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"11";"7";"Success"
"W/""JzE5OzkxNjE0OTQwNTEwMzQ2NzE3MzkxOzAwOyc=""";"70e8a9c5-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"47";"07/07/2023 13.11.33";"07/07/2023 13.11.33";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"11";"12";"Success"
"W/""JzE5OzU5Mzg1NDgwMzYyNTY2MTAzMTgxOzAwOyc=""";"858153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"48";"07/07/2023 13.11.32";"07/07/2023 13.11.37";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4470";"5";"Success"
"W/""JzE4OzUwMjQ4MTAwODc2NDgwMTcyMjE7MDA7Jw==""";"898153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"49";"07/07/2023 13.11.38";"07/07/2023 13.11.38";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"7";"3";"Success"
"W/""JzE5OzY2MTE1MjI0NTcyMzU5Njk2MTcxOzAwOyc=""";"8a8153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"50";"07/07/2023 13.11.39";"07/07/2023 13.11.39";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"8";"6";"Success"
"W/""JzIwOzEyNDI1MzczMDUyODE2NTA1ODEwMTswMDsn""";"8b8153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"51";"07/07/2023 13.11.22";"07/07/2023 13.11.39";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"382";"211";"Success"
"W/""JzIwOzE2NDY3Nzg3NDUzMTAwMTQ3NDE4MTswMDsn""";"948153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"52";"07/07/2023 13.11.44";"07/07/2023 13.11.44";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"7";"4";"Success"
"W/""JzE5OzQzNzY2ODk0NzA3MzA2MjA1OTgxOzAwOyc=""";"978153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"53";"07/07/2023 13.11.44";"07/07/2023 13.11.44";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"8";"9";"Success"
"W/""JzIwOzE0NzE3NzgzMjIxMjA1MTA2OTA2MTswMDsn""";"988153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"54";"07/07/2023 13.11.44";"07/07/2023 13.11.44";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"9";"8";"Success"
"W/""JzIwOzEzMTg5MjA5Mzc3MzQ3MzY1OTkzMTswMDsn""";"9a8153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"55";"07/07/2023 13.11.44";"07/07/2023 13.11.44";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"15";"12";"Success"
"W/""JzIwOzE3NTYyMjU3MDA5ODQyNjI0NjU5MTswMDsn""";"9b8153cc-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"56";"07/07/2023 13.11.32";"07/07/2023 13.11.44";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"377";"230";"Success"
"W/""JzE5Ozg0ODI0MzQzODE1NDI2MzEyMTkxOzAwOyc=""";"d54f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"57";"07/07/2023 13.11.31";"07/07/2023 13.11.49";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"328";"281";"Success"
"W/""JzIwOzEwNzg4MzIxNDM5NTAzNjk2ODU1MTswMDsn""";"d84f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"58";"07/07/2023 13.11.49";"07/07/2023 13.11.49";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"11";"8";"Success"
"W/""JzE5OzY2MzAwMjAzNTI2NjkxOTY2NzAxOzAwOyc=""";"d94f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"59";"07/07/2023 13.11.50";"07/07/2023 13.11.50";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"20";"10";"Success"
"W/""JzE5Ozc0MjcxMjY2MDEyODg0Mjk0NzIxOzAwOyc=""";"dd4f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"60";"07/07/2023 13.11.47";"07/07/2023 13.11.51";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4442";"5";"Success"
"W/""JzIwOzEyMzAzNTgyNjUwNTQ0NDY3ODYxMTswMDsn""";"e54f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"61";"07/07/2023 13.11.54";"07/07/2023 13.11.54";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"18";"9";"Success"
"W/""JzIwOzE2ODY0NjA4NzM2NjU0MTkwNzU3MTswMDsn""";"e74f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"62";"07/07/2023 13.11.55";"07/07/2023 13.11.55";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"30";"11";"Success"
"W/""JzIwOzE4MjE3MjU3MjYxMzU5NDE2MTcxMTswMDsn""";"ea4f85d2-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"63";"07/07/2023 13.11.56";"07/07/2023 13.11.56";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"7";"7";"Success"
"W/""JzE5OzE0NTEzODAzMTAzNTI4NzMzMzQxOzAwOyc=""";"930a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"64";"07/07/2023 13.11.56";"07/07/2023 13.11.56";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"12";"12";"Success"
"W/""JzIwOzE3OTk2MDE1NTkyNTU3MzcxMzkwMTswMDsn""";"9a0a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"65";"07/07/2023 13.11.58";"07/07/2023 13.11.58";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"7";"3";"Success"
"W/""JzIwOzE2NDA0NDg1OTA0Mzk3ODUxMDI5MTswMDsn""";"9b0a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"66";"07/07/2023 13.11.59";"07/07/2023 13.11.59";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Quantity";"";"8";"6";"Success"
"W/""JzE5Ozc5Njk0MzMxMzMyMDcwNzY0NDIxOzAwOyc=""";"9c0a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"67";"07/07/2023 13.11.44";"07/07/2023 13.11.59";"60003";"BCPT Create PO with N Lines";"289";"Scenario";"";"330";"211";"Success"
"W/""JzIwOzE1MTAzNDkwMjAzMzU2MDU0ODE0MTswMDsn""";"9f0a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"68";"07/07/2023 13.12.00";"07/07/2023 13.12.00";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"7";"4";"Success"
"W/""JzIwOzEwNDgyMDQzNjcwNzMxMDM3Mzk5MTswMDsn""";"a10a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"69";"07/07/2023 13.12.00";"07/07/2023 13.12.00";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Quantity";"";"15";"12";"Success"
"W/""JzE5Ozk0NzI0NDI5MjYzNzEyNzYxMTExOzAwOyc=""";"a20a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"70";"07/07/2023 13.11.49";"07/07/2023 13.12.00";"60005";"BCPT Create SQ with N Lines";"291";"Scenario";"";"403";"230";"Success"
"W/""JzE5OzEwODI3ODE3MDA2MjU0NjM5MDUxOzAwOyc=""";"a70a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"71";"07/07/2023 13.12.04";"07/07/2023 13.12.04";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"7";"9";"Success"
"W/""JzIwOzExNjUxMjM1MDkwNTU4NjIyNDMwMTswMDsn""";"a80a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"72";"07/07/2023 13.12.04";"07/07/2023 13.12.04";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"27";"8";"Success"
"W/""JzIwOzE3MTUyMzIxNzQwODYxMzU4MTA4MTswMDsn""";"ad0a85d8-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"73";"07/07/2023 13.12.05";"07/07/2023 13.12.05";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"15";"8";"Success"
"W/""JzE5Ozg4NDYzMTIwNTUyMzA0ODkzOTAxOzAwOyc=""";"956896de-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"74";"07/07/2023 13.12.01";"07/07/2023 13.12.06";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"4454";"5";"Success"
"W/""JzIwOzE4MTQ1NDQ5NDEyMjAyNDIwNTgxMTswMDsn""";"966896de-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"75";"07/07/2023 13.12.06";"07/07/2023 13.12.06";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"10";"11";"Success"
"W/""JzE5OzQ3MzkzNTk2ODY1MjUxOTAyNjAxOzAwOyc=""";"9d6896de-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"76";"07/07/2023 13.11.54";"07/07/2023 13.12.09";"60004";"BCPT Create SO with N Lines";"293";"Scenario";"";"364";"281";"Success"
"W/""JzIwOzE2MTAzNzg0OTI4MzI1MTc1NTYxMTswMDsn""";"a76896de-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"77";"07/07/2023 13.12.14";"07/07/2023 13.12.14";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"10";"9";"Success"
"W/""JzIwOzExMjc4MjQ5NjQxNTgwOTAwODY1MTswMDsn""";"a96896de-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"78";"07/07/2023 13.12.15";"07/07/2023 13.12.15";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"11";"12";"Success"
"W/""JzE5Ozk0ODI3OTc0NDY5ODg0MDY0NTkxOzAwOyc=""";"2bd49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"79";"07/07/2023 13.12.16";"07/07/2023 13.12.16";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"9";"7";"Success"
"W/""JzE5OzE4Mzg4Nzk5NzI1OTQ3NzQ0MjYxOzAwOyc=""";"2cd49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"80";"07/07/2023 13.12.16";"07/07/2023 13.12.16";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"12";"12";"Success"
"W/""JzE5OzU2NjYxODQyODA0NTg5NTk3ODUxOzAwOyc=""";"31d49ae4-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"81";"07/07/2023 13.12.18";"07/07/2023 13.12.18";"60005";"BCPT Create SQ with N Lines";"291";"Enter Line Item No.";"";"7";"4";"Success"
