"@odata.etag";"id";"bcptCode";"lineNumber";"tag";"version";"entryNumber";"startTime";"endTime";"codeunitID";"codeunitName";"sessionId";"operation";"message";"durationMin";"numberOfSQLStmts";"status"
"W/""JzIwOzEzMjgzNjg0MjQ4NjQxNzMyMDMxMTswMDsn""";"e0bbb4a6-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"1";"07/07/2023 13.10.32";"07/07/2023 13.10.33";"60003";"BCPT Create PO with N Lines";"289";"Add Order";"";"920";"32";"Success"
"W/""JzE5OzQ2MDEyMTU5NTE2NjY5OTEzMjMxOzAwOyc=""";"e1bbb4a6-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"2";"07/07/2023 13.10.34";"07/07/2023 13.10.35";"60003";"BCPT Create PO with N Lines";"289";"Enter Account No.";"";"910";"32";"Success"
"W/""JzE5OzQxOTA0MTA2MTY5Mzg3MDk1MTAxOzAwOyc=""";"e3bbb4a6-c71c-ee11-9969-ce909011d161";"10USERTEST";"1000";"10UserTest";"1";"3";"07/07/2023 13.10.29";"07/07/2023 13.10.39";"60007";"BCPT Detail Trial Bal. Report";"286";"Scenario";"";"10606";"116";"Success"
"W/""JzIwOzE0MzU2MTQyOTQzNzMwNjMwMzAzMTswMDsn""";"e7bbb4a6-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"4";"07/07/2023 13.10.41";"07/07/2023 13.10.41";"60005";"BCPT Create SQ with N Lines";"291";"Add Order";"";"215";"30";"Success"
"W/""JzIwOzE1NzcyNzQ4NjExNzQzMTUxNjY2MTswMDsn""";"4ff0adac-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"5";"07/07/2023 13.10.42";"07/07/2023 13.10.42";"60004";"BCPT Create SO with N Lines";"293";"Add Order";"";"39";"25";"Success"
"W/""JzE5Ozg3MDA1MTg5NzI4MjIyNjUyMjcxOzAwOyc=""";"50f0adac-c71c-ee11-9969-ce909011d161";"10USERTEST";"3000";"10UserTest";"1";"6";"07/07/2023 13.10.42";"07/07/2023 13.10.43";"60005";"BCPT Create SQ with N Lines";"291";"Enter Account No.";"";"229";"35";"Success"
"W/""JzIwOzEwNTkwNDc2MTIxNjgyNzQ1MzA5MTswMDsn""";"51f0adac-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"7";"07/07/2023 13.10.43";"07/07/2023 13.10.43";"60004";"BCPT Create SO with N Lines";"293";"Enter Account No.";"";"25";"11";"Success"
"W/""JzE5Ozk4OTU2NTY2OTA0OTEwNTAxODgxOzAwOyc=""";"55f0adac-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"8";"07/07/2023 13.10.45";"07/07/2023 13.10.45";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Item No.";"";"42";"10";"Success"
"W/""JzE5Ozg0OTY1NjkzMTk0MTQyMjY0MjUxOzAwOyc=""";"57f0adac-c71c-ee11-9969-ce909011d161";"10USERTEST";"4000";"10UserTest";"1";"9";"07/07/2023 13.10.45";"07/07/2023 13.10.45";"60004";"BCPT Create SO with N Lines";"293";"Enter Line Quantity";"";"16";"12";"Success"
"W/""JzE4OzE2MzM1MjYwOTAyODk1OTM2MDE7MDA7Jw==""";"c633b9b2-c71c-ee11-9969-ce909011d161";"10USERTEST";"2000";"10UserTest";"1";"10";"07/07/2023 13.10.52";"07/07/2023 13.10.52";"60003";"BCPT Create PO with N Lines";"289";"Enter Line Item No.";"";"6";"3";"Success"
